station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
AIR;01.10.1906 00:00;145.5;67;
AIR;01.11.1906 00:00;499.7;228;
AIR;01.12.1906 00:00;55.1;48;
AIR;01.01.1907 00:00;40.8;38;
AIR;01.02.1907 00:00;33.9;41;
AIR;01.03.1907 00:00;55.6;56;
AIR;01.04.1907 00:00;70.4;46;
AIR;01.05.1907 00:00;140.9;77;
AIR;01.06.1907 00:00;204.2;117;
AIR;01.07.1907 00:00;215.5;162;
AIR;01.08.1907 00:00;120.4;69;
AIR;01.09.1907 00:00;192.7;102;
AIR;01.10.1907 00:00;709.5;327;
AIR;01.11.1907 00:00;60.8;28;
AIR;01.12.1907 00:00;165.4;144;
AIR;01.01.1908 00:00;15;14;
AIR;01.02.1908 00:00;82;100;
AIR;01.03.1908 00:00;126.5;128;
AIR;01.04.1908 00:00;124.1;82;
AIR;01.05.1908 00:00;317.7;173;
AIR;01.06.1908 00:00;165.2;94;
AIR;01.07.1908 00:00;208.8;157;
AIR;01.08.1908 00:00;175.4;100;
AIR;01.09.1908 00:00;133.6;70;
AIR;01.10.1908 00:00;107.7;50;
AIR;01.11.1908 00:00;61.6;28;
AIR;01.12.1908 00:00;33.2;29;
AIR;01.01.1909 00:00;13.3;12;
AIR;01.02.1909 00:00;74.2;91;
AIR;01.03.1909 00:00;124.3;125;
AIR;01.04.1909 00:00;145;96;
AIR;01.05.1909 00:00;149;81;
AIR;01.06.1909 00:00;304.4;174;
AIR;01.07.1909 00:00;133.4;100;
AIR;01.08.1909 00:00;239.3;137;
AIR;01.09.1909 00:00;116.5;61;
AIR;01.10.1909 00:00;313.6;144;
AIR;01.11.1909 00:00;70.5;32;
AIR;01.12.1909 00:00;204;178;
AIR;01.01.1910 00:00;178.2;167;
AIR;01.02.1910 00:00;78.5;96;
AIR;01.03.1910 00:00;114.7;116;
AIR;01.04.1910 00:00;218.5;144;
AIR;01.05.1910 00:00;97.4;53;
AIR;01.06.1910 00:00;175.9;100;
AIR;01.07.1910 00:00;151.7;114;
AIR;01.08.1910 00:00;147;84;
AIR;01.09.1910 00:00;77.6;41;
AIR;01.10.1910 00:00;296;136;
AIR;01.11.1910 00:00;200.3;91;
AIR;01.12.1910 00:00;388.2;338;
AIR;01.01.1911 00:00;7.1;7;
AIR;01.02.1911 00:00;69.8;85;
AIR;01.03.1911 00:00;139.7;141;
AIR;01.04.1911 00:00;48.5;32;
AIR;01.05.1911 00:00;90.7;49;
AIR;01.06.1911 00:00;249.9;143;
AIR;01.07.1911 00:00;4.7;4;
AIR;01.08.1911 00:00;230;132;
AIR;01.09.1911 00:00;129.1;68;
AIR;01.10.1911 00:00;394.2;181;
AIR;01.11.1911 00:00;338.8;154;
AIR;01.12.1911 00:00;131.9;115;
AIR;01.01.1912 00:00;111.1;104;
AIR;01.02.1912 00:00;156.2;191;
AIR;01.03.1912 00:00;147.9;149;
AIR;01.04.1912 00:00;31.1;21;
AIR;01.05.1912 00:00;96.5;52;
AIR;01.06.1912 00:00;129.8;74;
AIR;01.07.1912 00:00;192.7;145;
AIR;01.08.1912 00:00;375;215;
AIR;01.09.1912 00:00;14.4;8;
AIR;01.10.1912 00:00;235.4;108;
AIR;01.11.1912 00:00;90.1;41;
AIR;01.12.1912 00:00;59.3;52;
AIR;01.01.1913 00:00;74.2;69;
AIR;01.02.1913 00:00;9;11;
AIR;01.03.1913 00:00;247.1;249;
AIR;01.04.1913 00:00;215.1;142;
